Regions-ID,Regionsname,Region-code
19,Argovie,AG
16,Appenzell Rh.-Int.,AI
15,Appenzell Rh.-Ext.,AR
2,Berne,BE
13,Bâle-Campagne,BL
12,Bâle-Ville,BS
10,Fribourg,FR
25,Genève,GE
8,Glaris,GL
18,Grisons,GR
26,Jura,JU
3,Lucerne,LU
24,Neuchâtel,NE
7,Nidwald,NW
6,Obwald,OW
17,Saint-Gall,SG
14,Schaffhouse,SH
11,Soleure,SO
5,Schwyz,SZ
20,Thurgovie,TG
21,Tessin,TI
4,Uri,UR
22,Vaud,VD
23,Valais,VS
9,Zoug,ZG
1,Zurich,ZH
